"","ALK","DIC","TOT_P","TOT_N5","TOT_N3","TOT_S6","TOT_S2","CH4","O2","N2","Mn2","Fe2","Ca2","MnO2","OM","OM_beta","FeOH3","FeOH3_P","FeCO3","S0","FeS","Viv","CaCO3","Apatite","MnCO3","Fe2_sorbed"
"1",4.08534076175625,4.19664398511806,0.00351811919782807,0.047030507840435,0.0146950252743562,0.0721612444771511,0.00021498203603199,0.00298483107804515,0.132380223908234,0.001566280033771,0.000699755736435123,0.00532570854817489,0.00159864563395505,3.87158865764149,2401.33458011326,11810.7555596297,88.4939225552222,0.0517917137238594,0,27.6955110373446,26.2084090392659,20.839717169641,0,0.000108146578351393,0,0.00186697989319722
"2",4.1561163384487,4.45768895898234,0.00585484313600166,0.0411132644488032,0.0421294941526567,0.0702312388587306,0.000632974166080993,0.0300422598909777,0.0300760554258837,0.0046873872827231,0.00205150002022925,0.0155056777419876,0.00159592900579772,2.90834605792863,2265.21831976947,11633.8457190141,78.8494697293767,0.0481449933000872,0,27.7894921720987,26.5668928397089,20.9107842272127,0,0.000109393898786145,0,0.00187329707851184
"3",4.22690688587275,4.64476060596231,0.00819255051917044,0.0353009867817674,0.0696149229982851,0.0682185419823479,0.00105242191232595,0.105632681571748,0.00279636552791512,0.00775314449445092,0.00334288766830065,0.0257041672773904,0.00159320030145042,2.1923276333785,2160.85384693108,11504.1794924197,71.2987665602467,0.0433506494805025,0,27.882899426314,26.9333287464096,20.9823094599331,0,0.000111287505195386,0,0.00187955042417802
"4",4.29731595215952,4.80726134075025,0.0105284314119822,0.0297915781326068,0.0971137302519417,0.0661945367557916,0.00147252572823885,0.197360944596936,0.000151172227341364,0.0106591643963387,0.00453500900111478,0.0360524614736155,0.00159045884466825,1.64558084177339,2075.78715843647,11403.1515251577,64.9942427668216,0.0391485143253446,0,27.9752135410998,27.2607286724648,21.0542982074872,0,0.000113728498087254,0,0.0018857119169502
"5",4.36715791382783,4.96688615929522,0.0128609806754046,0.0246790747933047,0.124610840999935,0.0641708404478432,0.00189247529932715,0.290962137895193,5.71113299549767e-06,0.013355844667203,0.00560146868707369,0.0465860801251973,0.00158770405128963,1.2248439935037,2003.68087883767,11321.2977182677,59.5070425283281,0.0355350306780242,0,28.0660141290138,27.5575284869086,21.126745378282,0,0.00011666250156417,0,0.00189176151412187
"6",4.43632027655231,5.12585835496274,0.0151890922430244,0.0200121898740186,0.152096098603205,0.0621509554911025,0.00231164540679146,0.384911860993582,1.65293572703414e-07,0.0158174888029997,0.00652794275569415,0.0573099330756592,0.00158493543332512,0.901757241397409,1940.87367553543,11253.1526688428,54.595379689355,0.0323589471417018,0,28.1549526435827,27.832388689515,21.1996364102286,0,0.000120053172104322,0,0.00189768208803557
"7",4.50469163441858,5.28421770122872,0.0175118646266004,0.0158295852572551,0.179560436128115,0.0601377919406709,0.0027295493286793,0.479119114662369,3.86758413551389e-09,0.0180237015409069,0.00731069228686662,0.0682037210643688,0.0015821525871894,0.655593174847738,1885.06017793122,11195.2767754226,50.1146063075664,0.0295152187359313,0,28.2417408119542,28.0909222783854,21.2729476998745,0,0.000123873814413331,0,0.00190345756833965
"8",4.57215759908834,5.44188784548674,0.0198285846474635,0.0121616855335772,0.206995483685408,0.0581342327871752,0.00314579632050451,0.573573731222516,7.57890046044537e-11,0.0199584321383376,0.00795465168903274,0.0792242604014375,0.00157935518279745,0.470134936757721,1834.69533919876,11145.3661447442,45.9748943908841,0.0269343668710711,0,28.3261447143628,28.3368119462047,21.3466466997446,0,0.000128103621106677,0,0.00190907217494906
"9",4.63860307284327,5.59879997866109,0.0221387255324631,0.00902912170149184,0.234393486036909,0.0561432134602503,0.0035600409171552,0.668265026516708,1.27525984102095e-12,0.0216107953652108,0.00847106511354055,0.0903078562873731,0.00157654295526132,0.332270564873328,1788.69340110216,11101.802798071,42.1196396054743,0.0245693306364954,0,28.4079811391601,28.5725494038583,21.4206920718901,0,0.000132725610661057,0,0.00191451010224123
"10",4.70391542714859,5.75489979129516,0.0244419432879306,0.00644003967031648,0.261747246682182,0.0541678030392509,0.00397191717230794,0.763176854457958,1.8771478280505e-14,0.0229764913255843,0.00887508179714829,0.101371916530478,0.00157371569863843,0.231296759831308,1746.2623730641,11063.4073929068,38.5137382114189,0.0223880316044424,0,28.4871147961252,28.7998511589356,21.4950340663467,0,0.000137725366479264,0,0.00191975541768629
"11",4.76798850948494,5.91015093242184,0.0267380692754221,0.00438617623361616,0.289050080817885,0.0522113130381419,0.00438095465290097,0.858285009006118,2.45226727853787e-16,0.0240598754750312,0.00918362099021239,0.11231536341929,0.0015708732611805,0.158514106384552,1706.80688034674,11029.2941070549,35.1369827695881,0.0203691633909053,0,28.5634556705764,29.0199054751822,21.5696152405387,0,0.000143090204924483,0,0.00192479207749273
"12",4.83072816421816,6.06453934627244,0.0290270979651433,0.00283798716446919,0.316295774675096,0.0502774211517628,0.0047864829498559,0.953554099056274,2.87613736927177e-18,0.0248765287124621,0.00941368783483964,0.123018587540827,0.00156801554165536,0.106935036641478,1669.86808571566,10998.7809147953,31.9801076555425,0.0184996192901938,0,28.6369560596876,29.2335288818138,21.6443716194248,0,0.000148808594971929,0,0.00192960401820306
