"","R.ALK","R.DIC","R.TOT_P","R.TOT_N5","R.TOT_N3","R.TOT_S6","R.TOT_S2","R.CH4","R.O2","R.N2","R.Mn2","R.Fe2","R.Ca2","R.MnO2","R.OM","R.OM_beta","R.FeOH3","R.FeOH3_P","R.FeCO3","R.S0","R.FeS","R.Viv","R.CaCO3","R.Apatite","R.MnCO3","R.Fe2_sorbed"
"432",0.494842267322574,1.75031773346003,0.0260035764033561,-1.10241591477971e-90,0.528397806327557,-1.45147717371875e-27,0.0067559484373608,1.75031773346003,0,5.51207957389853e-91,3.00152273009507e-30,-0.0037684401764342,-7.54112437929467e-06,-3.00152273009507e-30,-3.88506490157469e-46,-3.50063546692007,9.51956809922545e-31,0,0,2.35473071969555e-30,-0.0067559484373608,0.00350812953793167,0,2.51370812643156e-06,0,1.93980420531099e-18
"433",0.484921654686647,1.71496748325822,0.0253640718057335,-8.25412966803284e-91,0.517726032681727,-1.07928050582046e-27,0.00677055476063856,1.71496748325822,0,4.12706483401642e-91,1.33748746933171e-30,-0.0037126109002005,-7.54219447251547e-06,-1.33748746933171e-30,-2.06740698460449e-46,-3.42993496651644,1.92180962283423e-31,0,0,1.16057347406352e-30,-0.00677055476063856,0.00349438855361302,0,2.51406482417182e-06,0,-7.84202013188367e-18
"434",0.475148192993505,1.68014377923378,0.024734003338962,-6.19212135596262e-91,0.507213216372462,-8.01867684824965e-28,0.00678472400647793,1.68014377923378,0,3.09606067798131e-91,0,-0.00365796680920314,-7.54321079420897e-06,0,-1.09766119696901e-46,-3.36028755846756,0,-3.87241855985564e-139,0,1.83463002529395e-139,-0.00678472400647793,0.00348089693856036,0,2.51440359806966e-06,0,-4.05919048206864e-20
"435",0.465520860198019,1.6458428862272,0.0241133060203192,-4.65425256938079e-91,0.496858229804439,-5.95270905522876e-28,0.00679846822063725,1.6458428862272,0,2.3271262846904e-91,9.41812078607549e-31,-0.00360448761844202,-7.54417460814834e-06,-9.41812078607549e-31,-5.81464708721923e-47,-3.29168577245441,5.65522061416431e-32,0,0,8.56849828681422e-31,-0.00679846822063725,0.00346765194635976,0,2.51472486938278e-06,0,6.68074025855789e-19
"436",0.456038618533597,1.61206101453784,0.0235019136898315,-3.50511793642603e-91,0.486659928917083,-4.41539408373454e-28,0.00681179945440197,1.61206101453784,0,1.75255896821302e-91,9.92927768973998e-31,-0.00355215325965388,-7.54508717347834e-06,-9.92927768973998e-31,-3.07318860507463e-47,-3.22412202907568,3.0635107216512e-31,0,0,7.87404106476186e-31,-0.00681179945440197,0.00345465090468529,0,2.51502905782611e-06,0,-1.05965678295229e-17
"437",0.446700414966471,1.57879432153908,0.022899759042835,-2.64482740001429e-91,0.476617153672174,-3.27240054682702e-28,0.00682472976107969,1.57879432153908,0,1.32241370000714e-91,1.55874572009849e-30,-0.00350094388168955,-7.54594974458655e-06,-1.55874572009849e-30,-1.62055570243648e-47,-3.15758864307816,4.62104325144884e-33,0,0,1.46418153693916e-30,-0.00682472976107969,0.00344189121425642,0,2.51531658152885e-06,0,-2.2312385841267e-18
"438",0.437505181652127,1.54603891329957,0.02230677366261,-1.99955699550313e-91,0.466728728543265,-2.42328730672949e-28,0.0068372711927521,1.54603891329957,0,9.99778497751564e-92,1.06433615012003e-30,-0.00345083985069304,-7.54676357097871e-06,-1.06433615012003e-30,-8.52600736523739e-48,-3.09207782659913,9.03076394071613e-32,0,0,9.5957951975958e-31,-0.0068372711927521,0.00342937034781504,0,2.5155878569929e-06,0,7.58159646294962e-19
"439",0.428451836393634,1.51379084620963,0.0217228880530741,-1.51464780527695e-91,0.456993463006681,-1.79301579360911e-28,0.00684943579727903,1.51379084620963,0,7.57323902638477e-92,0,-0.00340182175008891,-7.54752989715837e-06,0,-4.47540696267979e-48,-3.02758169241926,0,-6.81007600132327e-143,0,3.24413485098933e-143,-0.00684943579727903,0.00341708584912265,0,2.51584329905279e-06,0,-4.67907458910028e-20
"440",0.419539283101675,1.48204612861219,0.0211480316715222,-1.14955709794018e-91,0.447410152033869,-1.32557213329279e-28,0.00686123561555635,1.48204612861219,0,5.74778548970089e-92,0,-0.00335387038037302,-7.54824996251082e-06,0,-2.3438108201326e-48,-2.96409225722438,0,-1.075438646074e-143,0,5.12844321676079e-144,-0.00686123561555635,0.00340503533197646,0,2.51608332083694e-06,0,-3.742520341201e-20
"441",0.410766412256041,1.45080072243738,0.0205821329613959,-8.74158074937743e-92,0.437977576584871,-9.79178662261455e-29,0.00687268267902112,1.45080072243738,0,4.37079037468872e-92,0,-0.00330696675871553,-7.54892500119107e-06,0,-1.22465532252197e-48,-2.90160144487477,0,-2.17265623121683e-144,0,1.0371375099263e-144,-0.00687268267902112,0.00339321647924555,0,2.51630833373036e-06,0,-1.65885591753816e-18
"442",0.402132101368381,1.42005054484011,0.0200251193850714,-6.66023250641724e-92,0.428694504102676,-7.22701770134907e-29,0.00688378900740689,1.42005054484011,0,3.33011625320862e-92,0,-0.0032610921183698,-7.5495562420164e-06,0,-6.38417232695306e-49,-2.84010108968023,0,-4.157376506156e-145,0,1.98656422722817e-145,-0.00688378900740689,0.00338162704192557,0,2.5165187473388e-06,0,-7.50701915319942e-18
"443",0.393635215445986,1.38979146983977,0.019476917456651,-5.08426498844889e-92,0.419559689008233,-5.32959454268673e-29,0.00689456660674712,1.38979146983977,0,2.54213249422445e-92,0,-0.00321622790788983,-7.55014490836283e-06,0,-3.32041868551865e-49,-2.77958293967955,0,-6.48473644342808e-146,0,3.10174504090021e-146,-0.00689456660674713,0.00337026483821232,0,2.51671496945428e-06,0,-3.74029788326053e-20
"444",0.385274607456382,1.36001932996137,0.018937452774742,-3.88871077108159e-92,0.410571873195887,-3.92704941092205e-29,0.00690502746761987,1.36001932996137,0,1.9443553855408e-92,0,-0.00317235579016344,-7.55069221806629e-06,0,-1.72296610896386e-49,-2.72003865992275,0,-1.00733917869432e-146,0,4.8229489503829e-147,-0.00690502746761987,0.00335912775259444,0,2.5168974060221e-06,0,-4.05118521345934e-20
