"","R1","R2","R3","R4","R5","R6","R1b","R2b","R3b","R4b","R5b","R6b","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27"
"1",10.5755980565906,1.06573422876967,0.0270381616467147,0.00880005692851162,0.000103752829595995,0.00158102512334254,0.197988198280794,0.0199518550791351,0.000506187629353202,0.000164747885341449,1.94238053378399e-06,2.95987341739211e-05,0,0,6.64772085736646,0.207895704326576,0.0140543446356693,1.9276933158164e-09,0,0,0,0,0,0,0,0,9.58773739764669,144.448894371959,0.105025681147914,0,0.000703955047876245,0,0
"2",9.67295459686164,1.05747477567641,0.0268016740172704,0.00897114683910341,0.000105644234949569,0.00160991042258316,0.19585479533543,0.0214114005900204,0.000542671458522353,0.000181644823254599,2.1390496365122e-06,3.2596935420921e-05,0,0,4.89245196581563,0.105541728080696,0.00952127894096718,2.41939708090168e-09,0,0,0,0,0,0,0,0,5.13648475609822,126.492191030642,0.075084688723454,0,0.000814259277978619,0,0
"3",8.83265378936447,1.04691476766592,0.0265650124979203,0.00907170766240067,0.00010677412427581,0.00162719550400286,0.193633573918487,0.0229509559511197,0.000582370648032803,0.000198874224905033,2.34075236939966e-06,3.56721420784725e-05,0,0,3.58349111051176,0.062430804342638,0.00642774775119837,2.67755228071901e-09,0,0,0,0,0,0,0,0,3.22992615118234,111.053995384139,0.0538848627180339,0,0.000830996625848638,0,0
"4",8.0514260123999,1.03414427012123,0.026308603549752,0.00911997569753591,0.000107312833291183,0.00163547445611678,0.19132114228935,0.0245737416883505,0.000625155354520347,0.000216712438941433,2.55000962760583e-06,3.88627853808035e-05,0,0,2.61329060083427,0.0402285259113409,0.00432360739440436,2.92383937010127e-09,0,0,0,0,0,0,0,0,2.22238580893723,97.7381088287375,0.0387031114239555,0,0.000837222680640253,0,0
"5",7.32610804556144,1.01925267919515,0.0260230616575754,0.00912525210278525,0.000107355397405321,0.00163619422782366,0.18891417831825,0.0262828887031614,0.000671041879234156,0.000235307682090355,2.7683125286615e-06,4.21916092686676e-05,0,0,1.8976233043371,0.026933593546844,0.00289735616817653,3.1754902257071e-09,0,0,0,0,0,0,0,0,1.59369155852346,86.217680470658,0.0277796103152493,0,0.00083928936762221,0,0
"6",6.65364261493458,1.00233045270435,0.0257029960786259,0.00909343495370574,0.000106966325510763,0.00163033680363843,0.18640942700865,0.0280814369173593,0.000720098906524955,0.000254763006876254,2.99678425813348e-06,4.56757549188479e-05,0,0,1.37205112303024,0.0182845589188394,0.00193406517518668,3.43421901157308e-09,0,0,0,0,0,0,0,0,1.16142907969304,76.2216774928528,0.0199064402955697,0,0.000838105994947995,0,0
"7",6.03107918390245,0.983469509583511,0.0253449247455923,0.00902887511429011,0.000106194973787263,0.00161865342259384,0.18380372525085,0.0299723074461627,0.000772414263250979,0.000275164830410567,3.23640781190762e-06,4.93302309405724e-05,0,0,0.987761807365757,0.0124517886112687,0.00128588094021934,3.70035548928066e-09,0,0,0,0,0,0,0,0,0.850488250578489,67.5243723974368,0.014231531267739,0,0.000834088496834643,0,0
"8",5.45557495246694,0.962763301823366,0.0249465368512857,0.00893502980746926,0.000105081188582854,0.00160175052970926,0.181094039427361,0.0319582623020839,0.000828083046697037,0.000296592138195592,3.48809741853011e-06,5.31690016372704e-05,0,0,0.708002933744215,0.00847061438070587,0.000851410889403345,3.97399638338145e-09,0,0,0,0,0,0,0,0,0.62292220610498,59.9370245209269,0.0101454752425318,0,0.0008275501865634,0,0
"9",4.92439572043103,0.940306885006236,0.0245063907268387,0.00881473155710512,0.00010365782402308,0.001580128111277,0.178277511223008,0.0340418562523845,0.000887202937349842,0.000319119033748583,3.75271605589196e-06,5.72052538189028e-05,0,0,0.505238565781958,0.00574920843267262,0.000561353233956657,4.25510786579994e-09,0,0,0,0,0,0,0,0,0.455651881311397,53.3012339398935,0.00720901013340384,0,0.000818748021634203,0,0
"10",4.43491647924486,0.916197100385288,0.0240237543365073,0.0086703348466238,0.000101952261984727,0.00155420283410447,0.17535151022128,0.0362253823639704,0.000949871688408634,0.000342815093947057,4.03107548770377e-06,6.14513972080074e-05,0,0,0.35893329826555,0.00389405293179121,0.00036850472120754,4.54352856492169e-09,0,0,0,0,0,0,0,0,0.332859928844506,47.4835971022053,0.00510407461925376,0,0.000807896626411174,0,0
"11",3.98462165540759,0.890532912371572,0.0234984986861202,0.00850382150441279,9.99875837897039e-05,0.00152432588331293,0.172313692879738,0.0385108118241147,0.00101618508252595,0.000367745049276356,4.32393117714051e-06,6.59189867498103e-05,0,0,0.253842307942076,0.00263473706546045,0.0002408309690242,4.83896158966139e-09,0,0,0,0,0,0,0,0,0.243047403615419,42.3713868209645,0.00359981623456378,0,0.00079517747786433,0,0
