"","R.ALK","R.DIC","R.TOT_P","R.TOT_N5","R.TOT_N3","R.TOT_S6","R.TOT_S2","R.CH4","R.O2","R.N2","R.Mn2","R.Fe2","R.Ca2","R.MnO2","R.OM","R.OM_beta","R.FeOH3","R.FeOH3_P","R.FeCO3","R.S0","R.FeS","R.Viv","R.CaCO3","R.Apatite","R.MnCO3","I.TOT_S6","I.O2","I.TOT_N5"
"1",-51.3005069014875,134.67335612005,1.17120730519487,33.0131652903669,-17.7093748221794,0.0358269429781122,-0.500833102762044,0,-200.833488862912,0,0.348972013776319,-0.0165248126713971,0,-0.348972013776319,-134.67335612005,0,-0.148968611375676,0.165493424047074,0,0.465006159783932,0,0,0,0,0,0.502735401367616,2.12766859766265,-0.205795012195209
"2",-46.6631034404036,133.303689135197,0.984313279227427,31.3070773485781,-16.1589308559421,0.0948695288902987,-1.4509325043345,0,-196.283879662896,0,1.01846030927534,-0.0299817587130147,0,-1.01846030927534,-133.303689135197,0,-0.4254660641972,0.455447822910215,0,1.3560629754442,0,0,0,0,0,1.48883003598542,5.968418178602,-0.541785425743389
"3",-42.1521165474556,131.947952059744,0.822853944615194,29.6430961772039,-14.6490107158693,0.139040380651688,-2.3390947876652,0,-191.792551039768,0,1.65834283100792,-0.0378803052398408,0,-1.65834283100792,-131.947952059744,0,-0.665349788007544,0.703230093247385,0,2.20005440701351,0,0,0,0,0,2.45281645257003,9.39378714086899,-0.806413201568855
"4",-37.9117594918653,130.606003222484,0.685219323330109,28.0918607755044,-13.2502695002221,0.170393729314491,-3.1723244241071,0,-187.505713957617,0,2.27486570469536,-0.0466769217852276,0,-2.27486570469537,-130.606003222484,0,-0.86484438245208,0.911521304237307,0,3.00193069479261,0,0,0,0,0,3.39881659502636,12.4317089095628,-1.00633768402734
"5",-33.9188009668092,129.277702393046,0.572232431839546,26.6430310505604,-11.9523830513506,0.190728160542016,-3.95643252473705,0,-183.406074068807,0,2.87284477015442,-0.0576938261416752,0,-2.87284477015442,-129.277702393046,0,-1.02125373074597,1.07894755688765,0,3.76570436419504,0,0,0,0,0,4.33061944132032,15.108063004189,-1.14757570246838
"6",-30.1126395545591,127.962910767244,0.485413199886114,25.2674383316354,-10.7261984717214,0.201645828187779,-4.69617805154741,0,-179.437982065271,0,3.45660148066646,-0.0717504281367976,0,-3.45660148066646,-127.962910767244,0,-1.13122302436816,1.20297345250496,0,4.49453222335963,0,0,0,0,0,5.25171713395025,17.4468422617096,-1.23556726089605
"7",-26.4764986380784,126.661490952567,0.426679449110363,23.9572338650646,-9.56388262045474,0.204602742332104,-5.39539032389034,0,-175.587959453569,0,4.03014262767435,-0.0898912370665896,0,-4.03014262767435,-126.661490952567,0,-1.19050922436217,1.28040046142875,0,5.19078758155823,0,0,0,0,0,6.16533703783168,19.4703659410635,-1.27527182172398
"8",-22.9873478162994,125.373306953831,0.398103137951597,22.7005216872789,-8.45355498797996,0.200952723577703,-6.05707709589287,0,-171.834156525766,0,4.5972770217101,-0.113908299676848,0,-4.5972770217101,-125.373306953831,0,-1.19386488162758,1.30777318130443,0,5.85612437231517,0,0,0,0,0,7.07447029701262,21.1994135569991,-1.27121707560039
"9",-19.6478477543537,124.098224158958,0.401387002465573,21.4964482403192,-7.39437731316494,0.191985635992621,-6.6835203407482,0,-168.17682881796,0,5.16195374720413,-0.147785710413508,0,-5.16195374720413,-124.098224158958,0,-1.13446589175012,1.28225160216363,0,6.49153470475558,0,0,0,0,0,7.98189738036474,22.6533612596831,-1.22755138567759
"10",-16.4762198726321,122.836109324915,0.436643153182731,20.3475368021502,-6.38888801522804,0.178961682161805,-7.27636295443934,0,-164.623586875964,0,5.72949448372904,-0.202108752602782,0,-5.72949448372904,-122.836109324915,0,-1.00153802550328,1.20364677810606,0,7.09740127227753,0,0,0,0,0,8.89021103594344,23.8502760112686,-1.14807207308839
"11",-13.5371107284071,121.58683056379,0.499697704842711,19.2680198830529,-5.45133459171305,0.163142557356779,-7.83668876367765,0,-161.207251764973,0,6.31059384823233,-0.306480565274781,0,-6.31059384823233,-121.58683056379,0,-0.772432545581557,1.07891311085634,0,7.67354620632087,0,0,0,0,0,9.8018370168926,24.8069925659484,-1.03624553564791
"12",-10.9491459074489,120.35025732901,0.576591262592894,18.2698716797889,-4.59370607421956,0.145821201330996,-8.36510017247195,0,-157.960280391621,0,6.93267598488809,-0.541343228980911,0,-6.93267598488809,-120.35025732901,0,-0.389970976902155,0.931314205883066,0,8.21927897114095,0,0,0,0,0,10.7190528936581,25.5391495931882,-0.895205261799396
"13",-8.97107821662396,119.126260401695,0.633194475424275,17.3653317057337,-3.82825666008653,0.128350286767183,-8.86179971523056,0,-154.924213895965,0,7.66833822077594,-1.11213562169849,0,-7.66833822077594,-119.126260401695,0,0.294405338573931,0.817730283124558,0,8.73344942846337,0,0,0,0,0,11.6440052299304,26.0612244259358,-0.727754174643499
"14",-4.49698979697658,117.914711877162,0.595978296358873,12.8749260155725,-3.18358255340012,0.112170599433278,-9.32669281949886,0,-147.554863881695,1.85402780738888,8.69845705276539,-2.50753791915463,0,-8.69845705276539,-117.914711877162,0,1.6468301760238,0.860707743130833,0,9.21452222006558,0,0,0,0,0,12.5787253666921,26.3865536100221,-0.536366589158134
"15",16.1281154760464,116.715485151553,0.319962295409817,-10.0454610590589,-2.67105189039347,0.0985456236590234,-9.75925862999994,0,-117.368856592338,12.9898181310644,10.4361456276723,-5.80076570261792,0,-10.4361456276723,-116.715485151553,0,4.49888705736459,1.30187864525334,0,9.66071300634091,0,0,0,0,0,13.5251440327357,26.5335517034102,-0.329428598790735
"16",26.4905029949716,115.528454908609,-0.432646628248575,-27.2273975779248,-2.25862560461952,0.0871491510057918,-10.1574274511944,0,-94.6516047678504,21.3071283474431,13.7370484850053,-13.1053571372906,0,-13.7370484850053,-115.528454908609,0,10.5677942834705,2.5375628538201,0,10.0702783001886,0,0,0,0,0,14.4851040500157,26.549981933302,-0.145553178697477
"17",50.240515839236,114.353497106575,-0.149286766243778,-30.1681870716855,-0.619820549434859,-3.57550635870644,-6.86663887915525,0,-77.7254524924942,21.8913616007065,22.0991661764853,-15.403241259821,0,-22.0991661764853,-114.353497106575,0,13.3564190219528,2.04682223786817,0,10.4421452378617,0,0,0,0,0,15.4603669169074,26.4711170241472,-0.011790368702431
"18",88.9739984493261,113.190488965234,1.51340568244715,-20.2865305926731,2.211348863461,-10.9532425076084,0.182615059424169,0,-65.0934908390103,15.4688686467216,33.7827546491286,-10.7412348189174,0,-33.7827546491286,-113.190488965234,0,11.4838529537313,-0.742618134813904,0,10.7706274481842,0,0,0,0,0,16.4414192707544,26.3227547895122,0.0693458265285469
"19",113.074967192927,112.03930895308,2.48719068907101,-12.5779777696963,4.39795299261267,-16.8440625967167,5.7959519368301,0,-55.4464467038834,10.4558822154213,43.3775897146565,-10.9285387515285,0,-43.3775897146565,-112.03930895308,0,13.3122322120387,-2.38369346051017,0,11.0481106598866,0,0,0,0,0,17.4080495809431,26.123768564863,0.115918123787263
"20",125.846484817281,110.899836774619,2.80515974322105,-7.45633298420918,5.9729478145975,-21.2221634514635,9.94783807568805,0,-48.0186651216989,7.04281967427283,50.5132654941023,-14.1242470647181,0,-50.5132654941023,-110.899836774619,0,17.0558051780327,-2.93155811331466,0,11.2743253757755,0,0,0,0,0,18.3455644263276,25.8882217536532,0.141550669077424
"21",130.723389032184,109.771953357795,2.50116852870852,-4.32920888454658,7.07898490362813,-24.4051885671722,12.950818437652,0,-42.30576405733,4.86215479487941,55.5682532972411,-19.0652599780542,0,-55.5682532972411,-109.771953357795,0,21.5079000831691,-2.44264010511491,0,11.4543701295202,0,0,0,0,0,19.2444689533137,25.626641120161,0.155089530474527
"22",130.618468587783,108.655540841551,1.61826166043198,-2.51190009306005,7.85630802259347,-26.7326676000002,15.1360044963697,0,-37.9417910844943,3.50140631032144,58.8986280866556,-24.6970346203749,0,-58.8986280866556,-108.655540841551,0,25.685716934278,-0.988682313903117,0,11.5966631036304,0,0,0,0,0,20.099179904498,25.346871106757,0.161835151450004
"23",127.990282166637,107.55048256351,0.224220124484543,-1.48774043670796,8.41312473575324,-28.4698842462923,16.7586005137662,0,-34.6403700608213,2.64813072340409,60.603870039193,-29.916935726155,0,-60.603870039193,-107.55048256351,0,28.5995906103036,1.3173451158514,0,11.711283732526,0,0,0,0,0,20.9067823438352,25.0546950600101,0.164816989224942
"24",124.938541203037,106.456663047786,-1.55912364705199,-0.917970882287825,8.81853271336142,-29.8000980764312,17.991459076395,0,-32.1775029697288,2.09839312126921,60.5583664664265,-33.5370075626899,0,-60.5583664664265,-106.456663047786,0,29.2646212476695,4.2723863150204,0,11.8086390000362,0,0,0,0,0,21.6660975955453,24.7543139592832,0.16571659549818
"25",123.116282770466,105.373967992914,-3.49167287612365,-0.603842915339953,9.1219872860722,-30.8429901339872,18.944664601152,0,-30.3514300134734,1.72808508695853,58.5742493980884,-34.4678496856107,0,-58.5742493980883,-105.373967992914,0,26.9915714959562,7.47627818965441,0,11.8983255328353,0,0,0,0,0,22.3770552710913,24.4487151666995,0.165456014249082
"26",123.215531029259,104.30228425991,-4.93069885325141,-0.430238590359203,9.35282690679285,-31.6744719119049,19.6863047406552,0,-28.9905174163441,1.46497199291444,54.5991382286153,-32.0227268010923,0,-54.5991382286153,-104.30228425991,0,22.164922356052,9.85780444504024,0,11.9881671712497,0,0,0,0,0,23.0402906511967,24.1399870832944,0.164536691690784
"27",123.661773928443,103.241499860447,-3.73321836505314,-0.3330648935601,9.52922308217158,-32.3425390308298,20.2590124177477,0,-27.9470917666972,1.26791521594691,48.8567507387246,-26.1661559757253,0,-48.8567507387246,-103.241499860447,0,18.3208313443404,7.8453246313849,0,12.0835266130821,0,0,0,0,0,23.6568930099849,23.8295750686676,0.163232080030965
"28",125.353060677026,102.191503945148,-1.03885661895745,-0.277651742427335,9.66303806836452,-32.8782883150341,20.6912651086536,0,-27.1003743354901,1.11364228846029,41.8644293138604,-17.5559605052563,0,-41.8644293138604,-102.191503945148,0,14.2177481537683,3.33821235148802,0,12.1870232063805,0,0,0,0,0,24.2282486681538,23.5184904600931,0.161693142953205
"29",130.942474089871,101.152186792011,-0.366018689279047,-0.245205331504937,9.76177687300002,-33.3029990007282,21.004282877495,0,-26.3621743381763,0.988997569707628,34.3240952248709,-7.34235762755535,0,-34.3240952248708,-101.152186792011,0,5.14188329020332,2.20047433735205,0,12.2987161232332,0,0,0,0,0,24.7559410810109,23.2074733507407,0.160004672245697
"30",137.849229206618,100.123439794935,-0.282252092241898,-0.223474710699905,9.82812772391679,-33.6324543211859,21.2157747495536,0,-25.6815456529947,0.886505299921932,26.9473022367756,3.17793078191829,0,-26.9473022367756,-100.123439794935,0,-5.22261885695878,2.0446880750405,0,12.4166795716323,0,0,0,0,0,25.2416843665396,22.8971068816098,0.158215427201167
