"","tran.ALK.dC","tran.ALK.flux.up","tran.ALK.flux.down","tran.DIC.dC","tran.DIC.flux.up","tran.DIC.flux.down","tran.TOT_P.dC","tran.TOT_P.flux.up","tran.TOT_P.flux.down","tran.TOT_N5.dC","tran.TOT_N5.flux.up","tran.TOT_N5.flux.down","tran.TOT_N3.dC","tran.TOT_N3.flux.up","tran.TOT_N3.flux.down","tran.TOT_S6.dC","tran.TOT_S6.flux.up","tran.TOT_S6.flux.down","tran.TOT_S2.dC","tran.TOT_S2.flux.up","tran.TOT_S2.flux.down","tran.CH4.dC","tran.CH4.flux.up","tran.CH4.flux.down","tran.O2.dC","tran.O2.flux.up","tran.O2.flux.down","tran.N2.dC","tran.N2.flux.up","tran.N2.flux.down","tran.Mn2.dC","tran.Mn2.flux.up","tran.Mn2.flux.down","tran.Fe2.dC","tran.Fe2.flux.up","tran.Fe2.flux.down","tran.Ca2.dC","tran.Ca2.flux.up","tran.Ca2.flux.down","tran.MnO2.dC","tran.MnO2.flux.up","tran.MnO2.flux.down","tran.OM.dC","tran.OM.flux.up","tran.OM.flux.down","tran.OM_beta.dC","tran.OM_beta.flux.up","tran.OM_beta.flux.down","tran.FeOH3.dC","tran.FeOH3.flux.up","tran.FeOH3.flux.down","tran.FeOH3_P.dC","tran.FeOH3_P.flux.up","tran.FeOH3_P.flux.down","tran.FeCO3.dC","tran.FeCO3.flux.up","tran.FeCO3.flux.down","tran.S0.dC","tran.S0.flux.up","tran.S0.flux.down","tran.FeS.dC","tran.FeS.flux.up","tran.FeS.flux.down","tran.Viv.dC","tran.Viv.flux.up","tran.Viv.flux.down","tran.CaCO3.dC","tran.CaCO3.flux.up","tran.CaCO3.flux.down","tran.Apatite.dC","tran.Apatite.flux.up","tran.Apatite.flux.down","tran.MnCO3.dC","tran.MnCO3.flux.up","tran.MnCO3.flux.down","tran.Fe2_sorbed.dC","tran.Fe2_sorbed.flux.up","tran.Fe2_sorbed.flux.down"
"1",99.4438954229287,-4.08906540546869,0.00622621915050241,-4008.97930343195,-17.63843876843,0.0166557252586782,43.4449048845612,-0.0580385957095121,0.000273691414691561,6.21101130245423,0.577364000822347,7.32409969354829e-103,0.362597807443692,-2.73818891917109,0.0026209872459728,-41.6025194591418,0.0821339887130586,3.32045180051198e-43,0.0119955860759036,-0.0236817274946213,6.41255967354495e-06,3947.33588681673,-0.548684625327909,0.00933937644800954,8069.39396274249,16.0849232439884,0,-3.10550565122666,-0.288669341101823,1.26593093501389e-05,-1.26220986547631,-0.0499949562488497,5.04375115032651e-06,34.0282973094644,-0.285581534085916,7.89926955991917e-07,-1.88856952978071e-09,2.06749610543115e-06,7.57022167753417e-07,50.6049299255659,0.05,3.87431492479853e-33,2191.21780435412,7.3,6.06049666466179e-70,280.210175652215,10.95,0.0368815045354283,-91.1497964673024,0.5,1.10595035733711e-32,-2942.57956848874,0,5.52413005701103e-158,0,0,0,-1.35744396406014,0,0.014291240409476,1668.81830267756,0,0.0441546082492873,0.212537611837103,0,0.0567543559126134,0,0,0,2.52393253247017e-08,0,4.36824645891218e-07,0,0,0,-0.00015349193312152,0,2.17414388749485e-24
"2",46.8352035729229,-4.08906540546869,0.00622621915050241,-9100.64476413956,-17.63843876843,0.0166557252586782,29.9859578729663,-0.0580385957095121,0.000273691414691561,24.0605515575646,0.577364000822347,7.32409969354829e-103,-5.61914779892138,-2.73818891917109,0.0026209872459728,-12.8182851693484,0.0821339887130586,3.32045180051198e-43,-0.0141297476453966,-0.0236817274946213,6.41255967354495e-06,9021.70819301096,-0.548684625327909,0.00933937644800954,18142.9107977925,16.0849232439884,0,-12.030275778782,-0.288669341101823,1.26593093501389e-05,-4.00712518753744,-0.0499949562488497,5.04375115032651e-06,44.4392704217454,-0.285581534085916,7.89926955991917e-07,-2.37891889241565e-09,2.06749610543115e-06,7.57022167753417e-07,118.940982387269,0.05,3.87431492479853e-33,2067.01171678825,7.3,6.06049666466179e-70,276.012989686644,10.95,0.0368815045354283,-183.205648052648,0.5,1.10595035733711e-32,-1520.49058023482,0,5.52413005701103e-158,0,0,0,-3.53313392813042,0,0.014291240409476,384.42965330217,0,0.0441546082492873,0.0679853493222637,0,0.0567543559126134,0,0,0,2.35370782519549e-08,0,4.36824645891218e-07,0,0,0,-0.000358423568601334,0,2.17414388749485e-24
"3",-61.858903284141,-4.08906540546869,0.00622621915050241,-3043.32662075622,-17.63843876843,0.0166557252586782,3.77385195307643,-0.0580385957095121,0.000273691414691561,62.6724768290537,0.577364000822347,7.32409969354829e-103,-13.2739953147415,-2.73818891917109,0.0026209872459728,-1.09835519362609,0.0821339887130586,3.32045180051198e-43,-0.20514076880736,-0.0236817274946213,6.41255967354495e-06,2948.97495285477,-0.548684625327909,0.00933937644800954,5918.85803732086,16.0849232439884,0,-31.3362384145272,-0.288669341101823,1.26593093501389e-05,-6.74410460226923,-0.0499949562488497,5.04375115032651e-06,14.5764598177614,-0.285581534085916,7.89926955991917e-07,-2.75089449264304e-09,2.06749610543115e-06,7.57022167753417e-07,160.448653981079,0.05,3.87431492479853e-33,1971.77913532589,7.3,6.06049666466179e-70,272.936658453622,10.95,0.0368815045354283,-198.159248549272,0.5,1.10595035733711e-32,-184.933096995654,0,5.52413005701103e-158,0,0,0,-5.29395560779803,0,0.014291240409476,36.3053626034249,0,0.0441546082492873,-0.00011413714681962,0,0.0567543559126134,0,0,0,2.18156423863394e-08,0,4.36824645891218e-07,0,0,0,-0.000498308512153693,0,2.17414388749485e-24
"4",-94.3937417256269,-4.08906540546869,0.00622621915050241,-404.667406410736,-17.63843876843,0.0166557252586782,-1.05405877218424,-0.0580385957095121,0.000273691414691561,80.5129729686356,0.577364000822347,7.32409969354829e-103,-16.2605258818729,-2.73818891917109,0.0026209872459728,0.652992288052744,0.0821339887130586,3.32045180051198e-43,-0.415595756506101,-0.0236817274946213,6.41255967354495e-06,296.457544084559,-0.548684625327909,0.00933937644800954,597.676248316212,16.0849232439884,0,-40.256486484318,-0.288669341101823,1.26593093501389e-05,-8.67707490681046,-0.0499949562488497,5.04375115032651e-06,9.99291637427583,-0.285581534085916,7.89926955991917e-07,-3.04196998098086e-09,2.06749610543115e-06,7.57022167753417e-07,173.581455991178,0.05,3.87431492479853e-33,1894.15578207246,7.3,6.06049666466179e-70,270.53976993637,10.95,0.0368815045354283,-202.997312537203,0.5,1.10595035733711e-32,1.13587051615139,0,5.52413005701103e-158,0,0,0,-6.73244569442209,0,0.014291240409476,1.98342185465721,0,0.0441546082492873,-0.00857456329274315,0,0.0567543559126134,0,0,0,2.02843822311573e-08,0,4.36824645891218e-07,0,0,0,-0.000600923383115918,0,2.17414388749485e-24
"5",-107.879549822848,-4.08906540546869,0.00622621915050241,-135.000830405261,-17.63843876843,0.0166557252586782,-1.6438938210001,-0.0580385957095121,0.000273691414691561,89.3184156215632,0.577364000822347,7.32409969354829e-103,-18.2199348995868,-2.73818891917109,0.0026209872459728,1.06193902218667,0.0821339887130586,3.32045180051198e-43,-0.610336712486778,-0.0236817274946213,6.41255967354495e-06,14.2702857436749,-0.548684625327909,0.00933937644800954,33.300259480428,16.0849232439884,0,-44.6592078107809,-0.288669341101823,1.26593093501389e-05,-9.79992351267297,-0.0499949562488497,5.04375115032651e-06,9.86931597675688,-0.285581534085916,7.89926955991917e-07,-3.26836308519675e-09,2.06749610543115e-06,7.57022167753417e-07,170.213877954401,0.05,3.87431492479853e-33,1828.35880194006,7.3,6.06049666466179e-70,268.597788365,10.95,0.0368815045354283,-186.102638699565,0.5,1.10595035733711e-32,14.7393498591138,0,5.52413005701103e-158,0,0,0,-7.89904874733652,0,0.014291240409476,0.0552140141179873,0,0.0441546082492873,-0.0367970903719686,0,0.0567543559126134,0,0,0,1.89226090071084e-08,0,4.36824645891218e-07,0,0,0,-0.000682531577970249,0,2.17414388749485e-24
"6",-120.223352220631,-4.08906540546869,0.00622621915050241,-129.431014545762,-17.63843876843,0.0166557252586782,-1.8894178051245,-0.0580385957095121,0.000273691414691561,96.0603821322373,0.577364000822347,7.32409969354829e-103,-19.9360003911673,-2.73818891917109,0.0026209872459728,1.37133807702571,0.0821339887130586,3.32045180051198e-43,-0.79389259359714,-0.0236817274946213,6.41255967354495e-06,-2.64581808891459,-0.548684625327909,0.00933937644800954,1.27578251604511,16.0849232439884,0,-48.0301910661194,-0.288669341101823,1.26593093501389e-05,-10.1989314885246,-0.0499949562488497,5.04375115032651e-06,8.51207581784657,-0.285581534085916,7.89926955991917e-07,-3.44012023161217e-09,2.06749610543115e-06,7.57022167753417e-07,157.375902676553,0.05,3.87431492479853e-33,1771.04722892585,7.3,6.06049666466179e-70,266.981047069538,10.95,0.0368815045354283,-147.838408375848,0.5,1.10595035733711e-32,16.8620153706625,0,5.52413005701103e-158,0,0,0,-8.82431339917952,0,0.014291240409476,-0.0860321887116975,0,0.0441546082492873,-0.0944953099760305,0,0.0567543559126134,0,0,0,1.7694393456665e-08,0,4.36824645891218e-07,0,0,0,-0.000751707708058945,0,2.17414388749485e-24
"7",-132.786245693145,-4.08906540546869,0.00622621915050241,-137.726577317239,-17.63843876843,0.0166557252586782,-2.12837071411755,-0.0580385957095121,0.000273691414691561,101.124753914346,0.577364000822347,7.32409969354829e-103,-21.4908427995354,-2.73818891917109,0.0026209872459728,1.67205386799731,0.0821339887130586,3.32045180051198e-43,-0.972081672254061,-0.0236817274946213,6.41255967354495e-06,-4.65027917908999,-0.548684625327909,0.00933937644800954,0.0371848791256736,16.0849232439884,0,-50.5623769571722,-0.288669341101823,1.26593093501389e-05,-9.98735593116139,-0.0499949562488497,5.04375115032651e-06,5.50989995599721,-0.285581534085916,7.89926955991917e-07,-3.56527876623671e-09,2.06749610543115e-06,7.57022167753417e-07,139.293326026238,0.05,3.87431492479853e-33,1720.11741236155,7.3,6.06049666466179e-70,265.607941493397,10.95,0.0368815045354283,-94.9289887949948,0.5,1.10595035733711e-32,18.892636619114,0,5.52413005701103e-158,0,0,0,-9.5300452106287,0,0.014291240409476,-0.232444075732264,0,0.0441546082492873,-0.192261713216537,0,0.0567543559126134,0,0,0,1.65749965343695e-08,0,4.36824645891218e-07,0,0,0,-0.000812812696222277,0,2.17414388749485e-24
"8",-145.426940553545,-4.08906540546869,0.00622621915050241,-145.022513578987,-17.63843876843,0.0166557252586782,-2.38663053656652,-0.0580385957095121,0.000273691414691561,104.244918405788,0.577364000822347,7.32409969354829e-103,-22.9034216080754,-2.73818891917109,0.0026209872459728,1.97392458827148,0.0821339887130586,3.32045180051198e-43,-1.15041739089242,-0.0236817274946213,6.41255967354495e-06,-6.71265509333911,-0.548684625327909,0.00933937644800954,0.000873034324506775,16.0849232439884,0,-52.1224592028947,-0.288669341101823,1.26593093501389e-05,-9.31371349365408,-0.0499949562488497,5.04375115032651e-06,0.955022547490235,-0.285581534085916,7.89926955991917e-07,-3.65074933607766e-09,2.06749610543115e-06,7.57022167753417e-07,118.99291166142,0.05,3.87431492479853e-33,1674.15949701979,7.3,6.06049666466179e-70,264.423811785981,10.95,0.0368815045354283,-32.1659532768738,0.5,1.10595035733711e-32,21.4758906734479,0,5.52413005701103e-158,0,0,0,-10.0340254364026,0,0.014291240409476,-0.487182807702436,0,0.0441546082492873,-0.34111589540375,0,0.0567543559126134,0,0,0,1.55474044103974e-08,0,4.36824645891218e-07,0,0,0,-0.000868083490337296,0,2.17414388749485e-24
"9",-157.851078920536,-4.08906540546869,0.00622621915050241,-150.522701538265,-17.63843876843,0.0166557252586782,-2.67683655419026,-0.0580385957095121,0.000273691414691561,104.945499660145,0.577364000822347,7.32409969354829e-103,-24.187089346443,-2.73818891917109,0.0026209872459728,2.2854666690071,0.0821339887130586,3.32045180051198e-43,-1.33521334209028,-0.0236817274946213,6.41255967354495e-06,-9.71676539186828,-0.548684625327909,0.00933937644800954,1.71298539237089e-05,16.0849232439884,0,-52.4727498300726,-0.288669341101823,1.26593093501389e-05,-8.33536218528343,-0.0499949562488497,5.04375115032651e-06,-5.07683437612098,-0.285581534085916,7.89926955991917e-07,-3.70239939265393e-09,2.06749610543115e-06,7.57022167753417e-07,98.604219081825,0.05,3.87431492479853e-33,1632.18272850484,7.3,6.06049666466179e-70,263.390271386804,10.95,0.0368815045354283,37.7907248776443,0.5,1.10595035733711e-32,24.8113677896696,0,5.52413005701103e-158,0,0,0,-10.3524341197943,0,0.014291240409476,-0.888707554243373,0,0.0441546082492873,-0.551804478722841,0,0.0567543559126134,0,0,0,1.4599378072466e-08,0,4.36824645891218e-07,0,0,0,-0.000918612655980845,0,2.17414388749485e-24
"10",-169.658696803516,-4.08906540546869,0.00622621915050241,-153.860793297099,-17.63843876843,0.0166557252586782,-3.01368116793133,-0.0580385957095121,0.000273691414691561,102.530267368454,0.577364000822347,7.32409969354829e-103,-25.3531840826689,-2.73818891917109,0.0026209872459728,2.61784921727599,0.0821339887130586,3.32045180051198e-43,-1.53419168862395,-0.0236817274946213,6.41255967354495e-06,-14.1040512507015,-0.548684625327909,0.00933937644800954,2.88211748473215e-07,16.0849232439884,0,-51.2651336842275,-0.288669341101823,1.26593093501389e-05,-7.19721565106459,-0.0499949562488497,5.04375115032651e-06,-12.5793983880459,-0.285581534085916,7.89926955991917e-07,-3.72552026326975e-09,2.06749610543115e-06,7.57022167753417e-07,79.5263287554501,0.05,3.87431492479853e-33,1593.46441542152,7.3,6.06049666466179e-70,262.479340392868,10.95,0.0368815045354283,113.874567204625,0.5,1.10595035733711e-32,29.0979063789668,0,5.52413005701103e-158,0,0,0,-10.5012754194916,0,0.014291240409476,-1.47270299938186,0,0.0441546082492873,-0.833843186996964,0,0.0567543559126134,0,0,0,1.37218213775957e-08,0,4.36824645891218e-07,0,0,0,-0.000964819787419597,0,2.17414388749485e-24
