"","R1","R2","R3","R4","R5","R6","R1b","R2b","R3b","R4b","R5b","R6b","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27"
"1",0,0,0,0,1.6438270724704e+69,3.01507977120124e-06,0,0,0,0,1.83242278969122e+69,3.36099884106613e-06,0,1.32361503972488e+78,0,0,0,1.55037631515998e+144,0,1.08342172847142e+75,5.87731843198627e+249,0,0,6.94008665451514e-137,0,1.19739801621807e-138,0,0,0,0,0,0,0
"2",0,0,0,0,1.64474653742527e+69,1.02962232964479e-06,0,0,0,0,1.83336744775636e+69,1.14770028068206e-06,0,1.32430308162268e+78,0,0,0,7.21109001043093e+144,0,1.12865578808163e+75,1.99471451010133e+251,0,0,6.94467160495856e-137,0,1.1982462320501e-138,0,0,0,0,0,0,0
"3",0,0,0,0,1.64491341223328e+69,6.28290420336063e-07,0,0,0,0,1.83414000223558e+69,7.00567327367838e-07,0,1.32498148087851e+78,0,0,0,1.4629189747195e+145,0,1.21717426194105e+75,1.11899203343323e+252,0,0,6.94925655540197e-137,0,1.19881170927145e-138,0,0,0,0,0,0,0
"4",0,0,0,0,1.64520047308993e+69,4.56309822221415e-07,0,0,0,0,1.83492829527269e+69,5.08932387207718e-07,0,1.32566842424507e+78,0,0,0,2.45017075302395e+145,0,1.33958271334748e+75,3.5472800592057e+252,0,0,6.95384150584538e-137,0,1.19852897066078e-138,0,0,0,0,0,0,0
"5",0,0,0,0,1.64549196677762e+69,3.61092372346776e-07,0,0,0,0,1.83574643091497e+69,4.02842461190696e-07,0,1.32636023892348e+78,0,0,0,3.80706358990658e+145,0,1.48007034528393e+75,8.4371416404404e+252,0,0,6.96148308991774e-137,0,1.1982462320501e-138,0,0,0,0,0,0,0
"6",0,0,0,0,1.64584267887945e+69,3.00883296397986e-07,0,0,0,0,1.83657236801869e+69,3.35751378460513e-07,0,1.32704955462956e+78,0,0,0,5.70587197800499e+145,0,1.63601893386616e+75,1.6417547165401e+253,0,0,6.97370962443351e-137,0,1.1982462320501e-138,0,0,0,0,0,0,0
"7",0,0,0,0,1.6454186421145e+69,2.59446282223457e-07,0,0,0,0,1.8374243647506e+69,2.89721356073079e-07,0,1.32772458062798e+78,0,0,0,8.39482176703376e+145,0,1.81998718534583e+75,2.69511739205145e+253,0,0,6.98746447576376e-137,0,1.19852897066078e-138,0,0,0,0,0,0,0
"8",0,0,0,0,1.64509226611225e+69,2.29433954120697e-07,0,0,0,0,1.83829557356029e+69,2.5637918977107e-07,0,1.32836932998913e+78,0,0,0,1.22376776149738e+146,0,2.04472350658608e+75,3.83437637384522e+253,0,0,6.99969101027953e-137,0,1.19796349343942e-138,0,0,0,0,0,0,0
"9",0,0,0,0,1.64486087264005e+69,2.06864429062936e-07,0,0,0,0,1.83918614855657e+69,2.31303570344501e-07,0,1.32896471371857e+78,0,0,0,1.77719899280528e+146,0,2.31864032574863e+75,4.84980767711178e+253,0,0,7.01344586160977e-137,0,1.19711527760739e-138,0,0,0,0,0,0,0
"10",0,0,0,0,1.64472314437015e+69,1.89441589252235e-07,0,0,0,0,1.84031913679951e+69,2.11970618398581e-07,0,1.32949001861251e+78,0,0,0,2.57976473755555e+146,0,2.64765344359661e+75,5.55962599357619e+253,0,0,7.02872902975449e-137,0,1.19626706177536e-138,0,0,0,0,0,0,0
"11",0,0,0,0,1.64355270768419e+69,1.75631183164876e-07,0,0,0,0,1.84172870662349e+69,1.96808407969325e-07,0,1.32992422797016e+78,0,0,0,3.75130566997052e+146,0,3.03659598946832e+75,5.85136070672113e+253,0,0,7.04706883152815e-137,0,1.19541884594333e-138,0,0,0,0,0,0,0
"12",0,0,0,0,1.6424115491235e+69,1.64646208905716e-07,0,0,0,0,1.84340211360468e+69,1.84794833947537e-07,0,1.33024743108266e+78,0,0,0,5.47257065750489e+146,0,3.48980419796631e+75,5.69996191119865e+253,0,0,7.06846526693075e-137,0,1.19513610733265e-138,0,0,0,0,0,0,0
"13",0,0,0,0,1.64137147598255e+69,1.55872983879615e-07,0,0,0,0,1.84511598008859e+69,1.75221598296756e-07,0,1.33044187995875e+78,0,0,0,8.01790781802675e+146,0,4.01129011779305e+75,5.16403769276418e+253,0,0,7.08680506870441e-137,0,1.1945706301113e-138,0,0,0,0,0,0,0
"14",0,0,0,0,1.64040611144634e+69,1.48876832100974e-07,0,0,0,0,1.84684718437456e+69,1.67612615111427e-07,0,1.33049298303861e+78,0,0,0,1.18061882543516e+147,0,4.60474418381323e+75,4.36307537053868e+253,0,0,7.10208823684912e-137,0,1.19372241427926e-138,0,0,0,0,0,0,0
"15",0,0,0,0,1.63959986627773e+69,1.43357816541065e-07,0,0,0,0,1.84892126176339e+69,1.61659756440754e-07,0,1.33038994346602e+78,0,0,0,1.74802914487992e+147,0,5.27328289171693e+75,3.44224799368201e+253,0,0,7.11431477136489e-137,0,1.19259145983656e-138,0,0,0,0,0,0,0
"16",0,0,0,0,1.63891352184442e+69,1.39089483073307e-07,0,0,0,0,1.85074400739952e+69,1.57066876231836e-07,0,1.33012628605168e+78,0,0,0,2.60310971186469e+147,0,6.01929056060177e+75,2.53649365518885e+253,0,0,7.12806962269514e-137,0,1.1920259826152e-138,0,0,0,0,0,0,0
"17",0,0,0,0,1.63824216616775e+69,1.35900183058238e-07,0,0,0,0,1.8523135026053e+69,1.53658445182231e-07,0,1.3296997454095e+78,0,0,0,3.89897463306787e+147,0,6.8440639856437e+75,1.74498722704409e+253,0,0,7.13723952358197e-137,0,1.19117776678317e-138,0,0,0,0,0,0,0
"18",0,0,0,0,1.63642039582281e+69,1.33575401351705e-07,0,0,0,0,1.85391127016547e+69,1.51328437738206e-07,0,1.32911220530018e+78,0,0,0,5.87207253030515e+147,0,7.74805571781506e+75,1.12012904402702e+253,0,0,7.14488110765432e-137,0,1.1901881816458e-138,0,0,0,0,0,0,0
"19",0,0,0,0,1.63604029940818e+69,1.32239506485172e-07,0,0,0,0,1.85552353318512e+69,1.49980117475582e-07,0,1.32836898012475e+78,0,0,0,8.88524705399903e+147,0,8.73015621088223e+75,6.70071908138149e+252,0,0,7.1464094244688e-137,0,1.18849174998174e-138,0,0,0,0,0,0,0
"20",0,0,0,0,1.63580200975022e+69,1.31720182945434e-07,0,0,0,0,1.8568314842188e+69,1.49518206569197e-07,0,1.32747824896429e+78,0,0,0,1.34875143438685e+148,0,9.78786697441305e+75,3.71710928900724e+252,0,0,7.14793774128327e-137,0,1.18665394901233e-138,0,0,0,0,0,0,0
"21",0,0,0,0,1.63699495321169e+69,1.32074351071899e-07,0,0,0,0,1.8581892233652e+69,1.49920520746418e-07,0,1.32645021533532e+78,0,0,0,2.04960948119972e+148,0,1.0917374422659e+76,1.86546623684756e+252,0,0,7.14335279083985e-137,0,1.18453340943225e-138,0,0,0,0,0,0,0
