"","H","OH","H2CO3","HCO3","CO3","H3PO4","H2PO4","HPO4","PO4","HNO3","NO3","NH4","NH3","H2SO4","HSO4","SO4","H2S","HS","S2"
"1",6.22715591612912e-06,0.00160586953894935,0.0557295461439268,3.99756713912283,0.0300265908836432,2.36687317291014e-10,0.000262957309454085,0.00260372736600948,2.00127038147258e-07,2.62242397486706e-11,0.0987218231030027,0.00526762675792886,0.000475691351165526,2.22811952676907e-19,3.57806927717668e-08,0.072336752104286,1.07294212322253e-06,1.7230050727387e-05,2.76692136176629e-11
"2",9.65934793245369e-06,0.0010352665697445,0.0874170197036004,4.04248285178157,0.0195749371598505,7.36633027696269e-10,0.000527598287509464,0.00336787192410798,1.66881332077366e-07,3.96237856287432e-11,0.0961630336669771,0.0143551903317942,0.000835720672967854,5.26268032846546e-19,5.44827701131232e-08,0.0710086687838433,3.70561922677937e-06,3.83630370568716e-05,3.97159697788487e-11
"3",1.35381484247819e-05,0.00073865344700275,0.123580797504398,4.07747890022372,0.0140874520625034,1.73346010496254e-09,0.000885838557708673,0.00403455191951887,1.42638261683182e-07,5.40542348832989e-11,0.0935988371729952,0.0236240936913111,0.000981286638021689,1.01441222867224e-18,7.49299089390491e-08,0.0696780412704859,7.83631343152184e-06,5.78831992798755e-05,4.27556246716270e-11
"4",1.75692256629954e-05,0.000569177048084831,0.161569933446045,4.10778708405337,0.0109359194821216,3.34593018738386e-09,0.00131754135018042,0.00462393407000369,1.2596764554519e-07,6.822359064025e-11,0.0910294569215508,0.0329286147347144,0.00105395201824989,1.67577602605948e-18,9.5381325176387e-08,0.0683456268241044,1.33247986655144e-05,7.5841695707622e-05,4.31673524846122e-11
"5",2.16206995132496e-05,0.00046251972531563,0.200181506558431,4.13574937188847,0.0089471449136196,5.6459176419184e-09,0.0018066116138116,0.00515222780233586,1.14057885462404e-07,8.15816802174256e-11,0.0884551054653457,0.0422213442414075,0.00109815164201699,2.48824493267512e-18,1.15086236277889e-07,0.0670121645736736,1.99747604116266e-05,9.23872069883107e-05,4.27309055989117e-11
"6",2.56340389582515e-05,0.000390106296408707,0.238870274651787,4.16241203788922,0.00759500438385249,8.67468385036236e-09,0.00234118975959471,0.00563144148499745,1.05148367850406e-07,9.39050214898441e-11,0.0858759938838544,0.0514845727715303,0.00112943196061898,3.42812368203543e-18,1.33733263322982e-07,0.0656783754888025,2.76045148566085e-05,0.000107686950548707,4.20093574501036e-11
"7",2.95815483692069e-05,0.000338048565788042,0.277368269561666,4.18828160886507,0.00662239334338672,1.24529790230587e-08,0.00291240893168528,0.00607059768555999,9.82224018306544e-08,1.05105624268913e-10,0.0832923381792473,0.0607104194299315,0.00115409705026218,4.47256183655223e-18,1.51194311424481e-07,0.0643449620673466,3.60618670499881e-05,0.000121906624358876,4.12103595245796e-11
"8",3.34494251474601e-05,0.000298958799917054,0.315532777997844,4.21362442242603,0.0058920600454752,1.69873789591918e-08,0.00351348186908916,0.00647662956855274,9.26745316151215e-08,1.15155763648194e-10,0.0807043643363677,0.0698948439751771,0.00117505036369686,5.60021590920642e-18,1.67423382749274e-07,0.0630126078826221,4.52255296980511e-05,0.000135205700841425,4.04209340654964e-11
"9",3.72307057516892e-05,0.000268595499282103,0.353282988554331,4.2385904641659,0.00532500705959694,2.2274491807411e-08,0.00413910587583957,0.00685496539399439,8.8125987760712e-08,1.24056854643588e-10,0.0781123128132644,0.0790355696789575,0.00119377180993736,6.79142366144436e-18,1.82414582918194e-07,0.0616819770887985,5.50035430333439e-05,0.000147737041033256,3.9681504298788e-11
"10",4.09220757202827e-05,0.000244366880809118,0.3905713425872,4.26326884028525,0.00487287269342445,2.83038584545199e-08,0.00478506662496527,0.0072099181495464,8.43281707688562e-08,1.31825424832545e-10,0.0755164429088516,0.088131251210413,0.0012110784637394,8.02822081613333e-18,1.96183127928533e-07,0.0603537139226988,6.53312531817044e-05,0.000159647945593638,3.90126704923012e-11
"11",4.45223049899071e-05,0.000224606520310818,0.427369490740934,4.2877146487174,0.0045045170448198,3.50600018977763e-08,0.00544796482546376,0.00754495501178482,8.1110861503675e-08,1.38486249852127e-10,0.0729170373147898,0.0971810955754326,0.00122745096152877,9.29429821138993e-18,2.08755997999136e-07,0.0590284422168036,7.61695428952548e-05,0.000171081759833688,3.84260787648956e-11
"12",4.80314235323895e-05,0.000208197035702192,0.463660901299099,4.31196291304114,0.00419903561883068,4.25239013465222e-08,0.00612502186948235,0.00786288973606693,7.83531980424988e-08,1.44068746442132e-10,0.0703144071024507,0.106184669003875,0.00124318671176322,1.05749334925483e-17,2.2016698058964e-07,0.0577067649297095,8.75035140643088e-05,0.000182179722417142,3.79292781722971e-11
"13",5.14502597204971e-05,0.000194362478524401,0.499436725189672,4.33603623522545,0.00394189753779146,5.06740683854161e-08,0.00681393837892102,0.00816602359299856,7.59666646477325e-08,1.48604962667262e-10,0.0677088973848956,0.115141788585649,0.00125847733966337,1.1856911182125e-17,2.30453864500151e-07,0.0563892636969193,9.93416749730015e-05,0.000193082941685181,3.75280791067143e-11
"14",5.47801681628472e-05,0.000182547814936833,0.534693359807389,4.35994920548667,0.00372270025088461,5.94873459138636e-08,0.00751278969400663,0.0084562511045789,7.38846992009244e-08,1.52128405418873e-10,0.0651008939131847,0.124052456220507,0.0012734503190421,1.31284375777559e-17,2.39656759335393e-07,0.0550764984033384,0.00011171564009239,0.000203934459931354,3.72277900507917e-11
"15",5.80228624149437e-05,0.00017234585788764,0.569430951350751,4.38371104500672,0.00353380653704252,6.89395090053314e-08,0.00821994735605279,0.00873514032979059,7.20560973465881e-08,1.54673334807358e-10,0.062490830911446,0.132916815455028,0.001288192533635,1.43790539752425e-17,2.47817039297586e-07,0.0537690067780892,0.000124680338480007,0.000214881398970581,3.70339190496811e-11
"16",6.11803087573636e-05,0.000163451283641919,0.603652442274693,4.40732723980423,0.00336948582162989,7.90057243702409e-08,0.0089340194761013,0.00900399469597999,7.04406842682167e-08,1.56274334333837e-10,0.0598792005272819,0.141735121598832,0.00130276420182841,1.55995502609644e-17,2.54976651439127e-07,0.0524673040118101,0.000138314726359599,0.000226077195700572,3.69526078394237e-11
"17",6.42546572559894e-05,0.000155630742222469,0.637362950542475,4.43080057400371,0.00322535551662887,8.96609095319596e-08,0.0096538051472041,0.0092639012593221,6.90063896435125e-08,1.56966053925822e-10,0.0572665643789848,0.150507720032843,0.00131720741109016,1.67818801730939e-17,2.61177646722714e-07,0.051171882396303,0.000152723002931908,0.000237683943007372,3.69909284646003e-11
"18",6.72481966931073e-05,0.000148702872221776,0.670569360591273,4.45413179095679,0.00309800718086544,1.00880021311873e-07,0.0103782594214411,0.00951576875211332,6.7727217982214e-08,1.56783068928187e-10,0.0546535678291901,0.159235029858441,0.00133155150785625,1.79190791227315e-17,2.66461853311943e-07,0.0498832109861703,0.000168036332822078,0.000249874853282572,3.71571083791135e-11
"19",7.016332556773e-05,0.000142524601265469,0.703280056284471,4.47732001422922,0.00298475007063618,1.12638295570818e-07,0.0111064663421903,0.00976035782158958,6.65818064843553e-08,1.55759823556485e-10,0.0520409578217306,0.167917531185635,0.0013458165821754,1.90051852114358e-17,2.70870644423627e-07,0.0486017352818869,0.000184415082079726,0.000262836860407516,3.74607187274489e-11
"20",7.30025345608378e-05,0.000136981545369036,0.73550475478126,4.50036300638322,0.0028834312935808,1.24911454937664e-07,0.0118376181961742,0.00999830520627037,6.55523780473547e-08,1.53930642505347e-10,0.0494296054092512,0.17655575501562,0.00136001575620263,2.00351639267969e-17,2.7444477164146e-07,0.0473278769335808,0.000202051576592153,0.000276773372058432,3.79128442215632e-11
"21",7.57683977798465e-05,0.000131981146401645,0.767254417397618,4.52325731174458,0.00279230716206322,1.37675897755258e-07,0.0125709996261121,0.0102301431269344,6.46239658326365e-08,1.51329804485516e-10,0.0468205345086546,0.18515027503457,0.00137415669425692,2.10048369063108e-17,2.77224245487446e-07,0.0460620334646223,0.000221173391072645,0.000291907177073071,3.85262438729719e-11
"22",7.84635519209323e-05,0.000127447709862498,0.798541078584001,4.54599860354841,0.00270995034900385,1.50908825555878e-07,0.013305974143226,0.0104563162777526,6.37838525385476e-08,1.47991642654411e-10,0.044214959002442,0.19370170052343,0.00138824292677618,2.19108042778371e-17,2.79248182645575e-07,0.0448045780140203,0.000242047139057523,0.000308483535516508,3.93155201318655e-11
"23",8.10905882631779e-05,0.000123318873548496,0.829377033539014,4.56858336489515,0.00263518495972228,1.64588084155515e-07,0.0140419667068445,0.0106772027101907,6.30212534941827e-08,1.43950563601066e-10,0.0416143311329752,0.202210668845345,0.00140227636673531,2.27503187654132e-17,2.80554368301998e-07,0.0435558590966132,0.000264982614156589,0.000326773574877264,4.02973491592794e-11
"24",8.36520472466836e-05,0.000119542800554669,0.859774817474986,4.59100902549508,0.00256703371390098,1.78692217079512e-07,0.0147784560099547,0.0108931250470132,6.2326955747526e-08,1.39241390108527e-10,0.0390204053243362,0.210677840701295,0.00141625770112763,2.35212183273635e-17,2.81179231131082e-07,0.0423162003789094,0.00029033756046726,0.000347077650844667,4.14906343919069e-11
