"","H","OH","H2CO3","HCO3","CO3","H3PO4","H2PO4","HPO4","PO4","HNO3","NO3","NH4","NH3","H2SO4","HSO4","SO4","H2S","HS","S2"
"1",1.849065161357e-05,0.000540813823600525,0.105958917513154,2.55967777038579,0.00647490022851576,2.0664164544437e-09,0.000773153338171967,0.00257818109362623,6.67361583926657e-08,1.30957230360057e-12,0.00166026443740489,0.0281068512294701,0.000854791074842852,7.60062960048566e-16,4.11052555600998e-05,27.9862775333054,0.000297145346790386,0.00160700311162812,8.69089497337547e-10
"2",2.76586179083661e-05,0.000361550965168625,0.168527725439397,2.72170395591353,0.00460267605770742,6.63620971067936e-09,0.00165992943775121,0.00370048929469665,6.40366607842634e-08,2.10601982157154e-12,0.0017849743496654,0.0421545296038109,0.000857065024677626,1.69734685445153e-15,6.13677393452879e-05,27.9324898959521,0.00125804608695009,0.00454847776963416,1.64450652765927e-09
"3",3.41824344063384e-05,0.000292547917480848,0.221225056451448,2.89088839357821,0.00395574544265079,1.3002271271973e-08,0.0026315779184447,0.00474693455777148,6.64676394497634e-08,2.52087758708924e-12,0.00172881597878616,0.056264302254376,0.000925614071675632,2.58579880843174e-15,7.56470056431164e-05,27.8604901564871,0.00274779232817264,0.00803860923276755,2.35167839048847e-09
"4",3.8217386541492e-05,0.000261661010994123,0.26261612138157,3.06944883130916,0.00375663856875066,1.986245541597e-08,0.00359560479111927,0.00580110819578504,7.26524025474039e-08,2.50714852603332e-12,0.00153786806238916,0.0704336697281517,0.00103638073550494,3.22247887593705e-15,8.43197080584894e-05,27.7758980391425,0.00493416714225944,0.0129107916285759,3.37825079026764e-09
"5",4.02007907515071e-05,0.000248751325858562,0.293139648798077,3.25716656014006,0.00378970471158191,2.61598004576562e-08,0.00450194133282998,0.00690502468385529,8.22111341628239e-08,2.17755480667309e-12,0.00126979759087204,0.0846312478314846,0.00118384855542389,3.55367336093282e-15,8.8398096020029e-05,27.6826916469704,0.00792225673000994,0.0197067186538188,4.9020723934591e-09
"6",4.06586858990238e-05,0.000245949906616143,0.314272070844699,3.45264915512193,0.0039719073666,3.13038973367363e-08,0.00532653852655404,0.00807777467489351,9.50907771099062e-08,1.70003438295542e-12,0.000980176682900226,0.0988208887622615,0.00136676993646743,3.62209193126321e-15,8.90853172249271e-05,27.5837172777141,0.0116472691928414,0.0286464477031241,7.0455911374676e-09
"7",4.01197453625375e-05,0.000249253825258265,0.328170960050916,3.65377651205267,0.00425974705884502,3.51713697330799e-08,0.0060650043142364,0.00932122403229023,1.11202558212171e-07,1.21920934560417e-12,0.000712393773700628,0.112971278717318,0.00158347013442577,3.51357294276645e-15,8.75771496308475e-05,27.4810067129002,0.0159016469329893,0.0396354632595393,9.8792908333236e-09
"8",3.90280096759386e-05,0.000256226235542961,0.337109656002395,3.85828929894832,0.00462400595202036,3.79415961221408e-08,0.00672572634406665,0.0106258281733396,1.30312592464728e-07,8.18786727223087e-13,0.000491806642330831,0.127058872907093,0.00183074811042227,3.31224732957088e-15,8.48684664443174e-05,27.3759973808304,0.0204456468148036,0.0523871111659805,1.34229522850298e-08
"9",3.76966239774628e-05,0.000265275744745168,0.342993877908828,4.06428272095935,0.00504291273896457,3.9899051823444e-08,0.007322512429299,0.011977265040163,1.52074081630579e-07,5.23945294234211e-13,0.00032582431178172,0.141067480007386,0.00210438138163363,3.07811729445714e-15,8.16549857700095e-05,27.2696930757021,0.0250956247982208,0.0665726055819333,1.76600975253737e-08
"10",3.63168445685316e-05,0.00027535431887893,0.347196232187902,4.27038367505513,0.00549995060235272,4.13103207163843e-08,0.00786956015307373,0.0133611042338135,1.76089818070368e-07,3.24216746522022e-13,0.000209279811788706,0.154986763614894,0.00239986328860968,2.84570886341299e-15,7.83578225812819e-05,27.1627822384964,0.0297470761861868,0.0819098590188711,2.25542334396104e-08
"11",3.49924903278139e-05,0.00028577560231692,0.350619188928772,4.4756985661942,0.00598254505925742,4.23817958632358e-08,0.00837923757545335,0.0147648708623855,2.01955089157466e-07,1.96215125953586e-13,0.000131449104637293,0.168810739743095,0.00271284650518401,2.63153342606042e-15,7.52028049849524e-05,27.0557257705392,0.0343584586160123,0.0981880920567187,2.8059761147858e-08
"12",3.37733299185477e-05,0.000296091620936323,0.353826688490826,4.67968591178701,0.00648101195946132,4.32599038064318e-08,0.00886159029164231,0.0161784825350317,2.29278800996459e-07,1.17043662955849e-13,8.12407683854152e-05,0.182536541572813,0.00303931655336558,2.44167341193098e-15,7.22959038335766e-05,26.948823442705,0.0389272712047527,0.115260388296431,3.41276352004402e-08
"13",3.26785329772802e-05,0.000306011289030401,0.357160629820371,4.88203657165339,0.00698776798578804,4.40443502641637e-08,0.00932454514648355,0.0175940209309605,2.57692959116824e-07,6.91464458843949e-14,4.96029277176718e-05,0.196163442487917,0.00337563532240721,2.27690154631967e-15,6.96757577184597e-05,26.8422643203621,0.0434715007992575,0.133027699956669,4.07079779404898e-08
"14",3.17109547197262e-05,0.0003153484367905,0.360822793061391,5.08258495397319,0.00749678971372,4.48016813050607e-08,0.00977428492772558,0.0190053414867909,2.86857599553361e-07,4.05685435258645e-14,2.99902508673863e-05,0.209692094203042,0.00371854241470457,2.13558929136925e-15,6.73454744659825e-05,26.7361641817174,0.0480180023374899,0.1514240197493,4.77513279204756e-08
"15",3.08652819085823e-05,0.000323988617036393,0.364927819418316,5.28124997323501,0.00800325171083961,4.55758285983691e-08,0.0102156104852803,0.0204077007455945,3.16463647436853e-07,2.36732572812222e-14,1.79799206226244e-05,0.223123953970391,0.00406514414250439,2.01521468570509e-15,6.5290661905302e-05,26.6305921549321,0.0525960199451187,0.170405117636376,5.52093183989333e-08
"16",3.01325417525315e-05,0.000331867124988216,0.369536770609677,5.47799828781219,0.00850327305331157,4.63956280469876e-08,0.0106522485430373,0.0217974416634509,3.46234034999665e-07,1.37514601654094e-14,1.06982575307537e-05,0.23646088004741,0.00441289439615114,1.91309513221086e-15,6.3489338135577e-05,26.5255887848079,0.05723393987822,0.189940630791333,6.30350510591679e-08
"17",2.95025409588628e-05,0.00033895385532872,0.374678365756322,5.67282250537846,0.00899372850545369,4.72800002678107e-08,0.0110871021367062,0.0231717389093808,3.75923265353227e-07,7.95642288172465e-15,6.32205741607709e-06,0.249704866867714,0.00475956853806815,1.82671592989595e-15,6.1917240702862e-05,26.4211777072688,0.0619579067190969,0.210008713505351,7.11832630952631e-08
"18",2.89651313018372e-05,0.000345242695287409,0.380362314220147,5.86572879867913,0.00947210444106824,4.82414354306029e-08,0.0115224470293909,0.0245283999354267,4.05315971237294e-07,4.58763415751365e-15,3.71290020201197e-06,0.262857884716768,0.00510323428842815,1.75385439969953e-15,6.05505420093947e-05,26.3173728574474,0.0667914244473839,0.230592513983002,7.96103810405913e-08
"19",2.85108114233198e-05,0.00035074413882941,0.386587495112511,6.05673014470074,0.00993639040259967,4.92882787785169e-08,0.0119600797241337,0.0258657155360154,4.34225095567366e-07,2.63747507098087e-15,2.16859666646464e-06,0.275921789989031,0.00544222409974672,1.6926044477333e-15,5.93671089399043e-05,26.2141827391371,0.0717554166126906,0.251677918061637,8.82745546329076e-08
"20",2.81309615880352e-05,0.00035548020527863,0.393346803766538,6.24584277781202,0.0103849992649383,5.04261923880855e-08,0.0124014252162757,0.0271823513049296,4.62490102725762e-07,1.51270669552158e-15,1.26057924243775e-06,0.288898279307951,0.00577511155183343,1.64135625133468e-15,5.83469657159813e-05,26.111612861529,0.0768684570230108,0.273252148819914,9.71357299553297e-08
"21",2.78178857249884e-05,0.000359480950452577,0.40062990892411,6.43308440513803,0.0108167086201191,5.1659071373446e-08,0.0128476138907127,0.028477270304348,4.89975357926757e-07,8.66028972479807e-16,7.29807467130905e-07,0.301788869402241,0.00610069199453598,1.59875910515539e-15,5.74723442665969e-05,26.0096670853772,0.0821470304979574,0.295302926002626,1.06155776510851e-07
"22",2.75647611377681e-05,0.000362782029926551,0.408424755721058,6.61847335070482,0.0112306163377411,5.29896115256526e-08,0.0132995363925645,0.0297496779520222,5.16568637528855e-07,4.9517975850893e-16,4.21122698237096e-07,0.314594891726757,0.00641796630950468,1.56368112745768e-15,5.67275413576936e-05,25.9083483462348,0.0876057667789562,0.317817979053417,1.15298651588153e-07
"23",2.73655511170118e-05,0.00036542293474161,0.416718350232691,6.80202817042653,0.0116261046369212,5.44196605773842e-08,0.0137578835717019,0.0309989819325441,5.42179674030314e-07,2.82927221571126e-16,2.42365352924733e-07,0.327317495584407,0.00672612634176031,1.53517189141611e-15,5.60987017894102e-05,25.8076590342987,0.0932576322225076,0.340784776538024,1.24530573157788e-07
"24",2.72149088818947e-05,0.000367445654269771,0.425497151450792,6.98376749614934,0.0120028087939016,5.59504375663902e-08,0.014223176609879,0.0322247619725779,5.66738652881216e-07,1.61612861653456e-16,1.39209551962303e-07,0.339957656305287,0.00702454084211548,1.51243013884553e-15,5.55735881905414e-05,25.7076011906846,0.0991140813968562,0.364190384862152,1.33820174244433e-07
"25",2.71080861271116e-05,0.000368893619162539,0.434747258890584,7.16370998559028,0.0123605882264755,5.75826722811808e-08,0.0146957907266473,0.0334267460563751,5.90194618535135e-07,9.23311960048663e-17,7.98453454857096e-08,0.352516186534933,0.00731274124471821,1.49477687299897e-15,5.51413650521051e-05,25.6081766081178,0.105185176187927,0.388021403262137,1.43138619761896e-07
"26",2.70408513928307e-05,0.00036981084118717,0.444454499453029,7.34187431746225,0.0126994988852367,5.93166960233102e-08,0.0151759746042575,0.0346047909269709,6.12513786476893e-07,5.27771331815323e-17,4.57536172203985e-08,0.364993749437724,0.00759040703871555,1.48163334452306e-15,5.47924073469033e-05,25.5093868829449,0.111479680392379,0.412263943811828,1.52459675852192e-07
"27",2.70094194896857e-05,0.000370241204325727,0.454604468123033,7.51827920280256,0.0130197666280919,6.11525022857474e-08,0.015663866839725,0.0357588655575753,6.33677785252328e-07,3.01930224159375e-17,2.62054329587018e-08,0.377390872999902,0.00785735079269477,1.47250319572224e-15,5.45181356557685e-05,25.4112334427989,0.118005136454592,0.4369036383757,1.61759729246511e-07
"28",2.70103914280609e-05,0.000370227881614891,0.465182550011822,7.69294339915988,0.0133217616534881,6.30897884901484e-08,0.0161595102175619,0.0368890367961378,6.53681866642102e-07,1.72901677906079e-17,1.50061170584707e-08,0.389707964822086,0.00811350305525798,1.46695802068466e-15,5.43108760416056e-05,25.3137175622519,0.124767929438086,0.461925662093388,1.71017759340391e-07
"29",2.7040703635734e-05,0.000369812861925128,0.476173936928951,7.86588572181274,0.0136059742342617,6.51279855901598e-08,0.0166628642922189,0.0379954566925583,6.72533125971165e-07,9.91309827766598e-18,8.59392231232226e-09,0.401945326923269,0.00835889741779508,1.46462568476049e-15,5.41637416130328e-05,25.2168403725968,0.131773342000238,0.487314767305468,1.80215268755613e-07
"30",2.70975851092977e-05,0.000369036575018223,0.487563644370243,8.03712504974431,0.0138729920231717,6.72662798215942e-08,0.0171738165933874,0.0390783511949745,6.9024877179367e-07,5.69097857792355e-18,4.9233006985406e-09,0.414103170179647,0.00859365602303973,1.46518085696606e-15,5.40705325237022e-05,25.1206028687683,0.139025603133351,0.513055324201745,1.89336179638276e-07
"31",2.71785212292577e-05,0.000367937604685976,0.499336531214917,8.20668032575563,0.0141234791594695,6.95036293800916e-08,0.0176921926659701,0.0401380100035175,7.06854477901089e-07,3.27162261327397e-18,2.82187244044499e-09,0.42618162810904,0.0088179757647971,1.46833731383951e-15,5.40256514125149e-05,25.025005914866,0.146527932711791,0.539131365815641,1.98366703349285e-07
"32",2.7281223129991e-05,0.000366552480156461,0.511477322719562,8.37457055086983,0.0143581573346855,7.18387778854053e-08,0.0182177650969955,0.0411747774297747,7.22382842905316e-07,1.88345253480523e-18,1.61841853033488e-09,0.43818076978894,0.00903211537041231,1.47384166305374e-15,5.40240316950271e-05,24.9300502489844,0.154282583351926,0.565526635725941,2.07295190919883e-07
"33",2.74036016884088e-05,0.000364915536056335,0.523970636623058,8.5408147735344,0.0145777888988098,7.42702659004363e-08,0.0187502616453662,0.0421890441467701,7.36871974880357e-07,1.08584117156239e-18,9.28877959977779e-10,0.450100611764479,0.00923638350048287,1.48146820812105e-15,5.4061076531691e-05,24.8357364876905,0.162290880699681,0.592224637275789,2.16111970977263e-07
